Article_ID,News_source,Date_published,Country,Cities_mentioned
99,de telegraaf,26/07/2023,NL,['Rotterdam']
100,de telegraaf,27/07/2023,NL,[]
101,de telegraaf,28/07/2023,NL,['Rotterdam']
102,de telegraaf,29/07/2023,NL,['Utrecht']
103,de telegraaf,30/07/2023,NL,['Utrecht']
104,nrc handelsblad,31/07/2023,NL,"['Amsterdam', 'Houten']"
105,de telegraaf,01/08/2023,NL,['Las Vegas']
106,de telegraaf,02/08/2023,NL,"['Oslo', 'Stavanger', 'Bergen', 'Kristiansand', 'Trondheim']"
107,de telegraaf,03/08/2023,NL,"['Oslo', 'Stavanger', 'Bergen', 'Kristiansand', 'Trondheim']"
108,de telegraaf,04/08/2023,NL,['The Hague']
109,nrc handelsblad,05/08/2023,NL,"['Dordrecht', 'Amsterdam', 'Utrecht', 'Schiedam']"
110,de telegraaf,06/08/2023,NL,['The Hague']
111,de telegraaf,07/08/2023,NL,['Amsterdam']
112,de telegraaf,08/08/2023,NL,['Utrecht']
113,de telegraaf,09/08/2023,NL,['Wuhan']
114,de telegraaf,10/08/2023,NL,"['Bonn', 'Trier', 'Utrecht']"
115,nrc handelsblad,11/08/2023,NL,[]
116,nrc handelsblad,12/08/2023,NL,['Rotterdam']
117,de telegraaf,13/08/2023,NL,['Utrecht']
118,de telegraaf,14/08/2023,NL,['Utrecht']
119,de telegraaf,15/08/2023,NL,[]
120,de telegraaf,16/08/2023,NL,['Barcelona']
121,de telegraaf,17/08/2023,NL,"['New York', 'Amsterdam']"
122,de telegraaf,18/08/2023,NL,['The Hague']
123,de telegraaf,19/08/2023,NL,['Utrecht']
124,de telegraaf,20/08/2023,NL,['Amsterdam']
125,de telegraaf,21/08/2023,NL,[]
126,nrc handelsblad,22/08/2023,NL,['Rotterdam']
127,de telegraaf,23/08/2023,NL,[]
128,de telegraaf,24/08/2023,NL,"['Warsaw', 'Moscow']"
129,nrc handelsblad,25/08/2023,NL,['Brussels']
130,de telegraaf,26/08/2023,NL,['Arnhem']
131,de telegraaf,27/08/2023,NL,['Utrecht']
132,de telegraaf,28/08/2023,NL,"['The Hague', 'Amsterdam']"
133,de telegraaf,29/08/2023,NL,[]
134,de telegraaf,30/08/2023,NL,"['Amsterdam', 'Brussels', 'Rotterdam', 'Utrecht']"
135,de telegraaf,31/08/2023,NL,"['Amsterdam', 'Brussels', 'Rotterdam', 'Utrecht']"
136,de telegraaf,01/09/2023,NL,[]
137,de telegraaf,02/09/2023,NL,"['Paris', 'Bloemendaal', 'Saint-Nazaire', 'Nantes']"
138,de telegraaf,03/09/2023,NL,"['Amsterdam', 'Utrecht']"
139,de telegraaf,04/09/2023,NL,"['The Hague', 'Amsterdam']"
140,de telegraaf,05/09/2023,NL,['Utrecht']
141,nrc handelsblad,06/09/2023,NL,"['Nice', 'Amsterdam', 'Rotterdam']"
142,de telegraaf,07/09/2023,NL,['Amsterdam']
143,de telegraaf,08/09/2023,NL,['Rotterdam']
144,de telegraaf,09/09/2023,NL,[]
145,de telegraaf,10/09/2023,NL,"['Barendrecht', 'Rotterdam', 'Dordrecht']"
146,de telegraaf,11/09/2023,NL,['The Hague']
147,de telegraaf,12/09/2023,NL,['Amsterdam']
148,de telegraaf,13/09/2023,NL,['Amsterdam']
149,nrc handelsblad,14/09/2023,NL,['Amsterdam']
150,nrc handelsblad,15/09/2023,NL,"['Paris', 'New York', 'London']"
151,de telegraaf,16/09/2023,NL,"['The Hague', 'Amsterdam']"
152,de telegraaf,17/09/2023,NL,['Amsterdam']
153,nrc handelsblad,18/09/2023,NL,['Rotterdam']
154,de telegraaf,19/09/2023,NL,['Rotterdam']
155,nrc handelsblad,20/09/2023,NL,"['Amsterdam', 'Barcelona', 'Minneapolis']"
156,de telegraaf,21/09/2023,NL,['Amsterdam']
157,nrc handelsblad,22/09/2023,NL,"['The Hague', 'Amsterdam', 'Rotterdam']"
158,de telegraaf,23/09/2023,NL,['Amsterdam']
159,nrc handelsblad,24/09/2023,NL,"['Amsterdam', 'Brussels']"
160,de telegraaf,25/09/2023,NL,['Marrakesh']
161,nrc handelsblad,26/09/2023,NL,['Amsterdam']
162,nrc handelsblad,27/09/2023,NL,"['The Hague', 'Rotterdam', 'Phoenix', 'New York', 'Utrecht', 'Maastricht']"
163,nrc handelsblad,28/09/2023,NL,['Rotterdam']
164,nrc handelsblad,29/09/2023,NL,"['Amstelveen', 'Amsterdam', 'Utrecht', 'Zaandam']"
165,nrc handelsblad,30/09/2023,NL,['Amersfoort']
166,nrc handelsblad,01/10/2023,NL,['Amsterdam']
167,nrc handelsblad,02/10/2023,NL,"['Maastricht', 'Huy', 'Zwolle', 'Utrecht']"
168,nrc handelsblad,03/10/2023,NL,"['The Hague', 'Amsterdam', 'Rotterdam', 'Utrecht']"
169,nrc handelsblad,04/10/2023,NL,"['Boston', 'San Francisco']"
170,nrc handelsblad,05/10/2023,NL,['Haarlem']
171,de telegraaf,06/10/2023,NL,['Paris']
172,nrc handelsblad,07/10/2023,NL,['Amsterdam']
173,nrc handelsblad,08/10/2023,NL,"['The Hague', 'Bali', 'Tilburg']"
174,nrc handelsblad,09/10/2023,NL,"['Amsterdam', 'Urk', 'Leeuwarden', 'Apeldoorn', 'Woerden']"
175,nrc handelsblad,10/10/2023,NL,"['Grigny', 'Paris', 'London']"
176,de telegraaf,11/10/2023,NL,"['Barcelona', 'Tilburg']"
177,nrc handelsblad,12/10/2023,NL,"['Amsterdam', 'Rotterdam']"
178,nrc handelsblad,13/10/2023,NL,['Rotterdam']
179,de telegraaf,14/10/2023,NL,"['Zeist', 'Zwolle', 'Utrecht', 'De Bilt']"
180,de telegraaf,15/10/2023,NL,[]
181,de telegraaf,16/10/2023,NL,['Amsterdam']
182,de telegraaf,17/10/2023,NL,['Amsterdam']
183,de telegraaf,18/10/2023,NL,[]
184,de telegraaf,19/10/2023,NL,"['Paris', 'Barcelona', 'Turin']"
185,nrc handelsblad,20/10/2023,NL,['Rotterdam']
186,de telegraaf,21/10/2023,NL,[]
187,de telegraaf,22/10/2023,NL,['Utrecht']
188,de telegraaf,23/10/2023,NL,['Zwolle']
189,de telegraaf,24/10/2023,NL,[]
190,nrc handelsblad,25/10/2023,NL,"['Haarlem', 'Amsterdam', 'Venlo']"
191,de telegraaf,26/10/2023,NL,"['Amsterdam', 'Utrecht']"
192,de telegraaf,27/10/2023,NL,"['Sneek', 'Marsberg']"
193,de telegraaf,28/10/2023,NL,[]
194,nrc handelsblad,29/10/2023,NL,"['Amsterdam', 'Holland']"
195,nrc handelsblad,30/10/2023,NL,['Rotterdam']
196,nrc handelsblad,31/10/2023,NL,"['Utrecht', 'Leeuwarden']"
197,nrc handelsblad,01/11/2023,NL,"['Utrecht', 'Zutphen']"
198,nrc handelsblad,02/11/2023,NL,"['New Delhi', 'Greater Noida', 'Delhi']"
199,nrc handelsblad,03/11/2023,NL,"['Paris', 'Rotterdam']"
200,de telegraaf,04/11/2023,NL,['Utrecht']
201,nrc handelsblad,05/11/2023,NL,[]
202,de telegraaf,06/11/2023,NL,"['Amsterdam', 'Haren', 'Drachten']"
203,nrc handelsblad,07/11/2023,NL,['Rotterdam']
204,nrc handelsblad,08/11/2023,NL,['Utrecht']
205,nrc handelsblad,09/11/2023,NL,[]
206,de telegraaf,10/11/2023,NL,"['The Hague', 'Rotterdam']"
207,nrc handelsblad,11/11/2023,NL,['Amsterdam']
208,nrc handelsblad,12/11/2023,NL,"['Maastricht', 'Amsterdam', 'Rotterdam']"
209,de telegraaf,13/11/2023,NL,"['Amsterdam', 'Brussels']"
210,de telegraaf,14/11/2023,NL,['Utrecht']
211,nrc handelsblad,15/11/2023,NL,['Asmara']
212,de telegraaf,16/11/2023,NL,[]
213,nrc handelsblad,17/11/2023,NL,"['Hamburg', 'Delfzijl', 'Meppel']"
214,nrc handelsblad,18/11/2023,NL,['Mariupol']
215,de telegraaf,19/11/2023,NL,"['Paris', 'Amsterdam', 'Turin']"
216,de telegraaf,20/11/2023,NL,"['Amsterdam', 'Utrecht']"
217,de telegraaf,21/11/2023,NL,['Amsterdam']
218,de telegraaf,22/11/2023,NL,"['Venice', 'Amsterdam', 'Rotterdam']"
219,de telegraaf,23/11/2023,NL,[]
220,de telegraaf,24/11/2023,NL,"['Brussels', 'Kerkrade']"
221,nrc handelsblad,25/11/2023,NL,"['Nice', 'Amsterdam', 'Utrecht']"
222,de telegraaf,26/11/2023,NL,[]
223,de telegraaf,27/11/2023,NL,['Utrecht']
224,de telegraaf,28/11/2023,NL,"['Rotterdam', 'Zutphen']"
225,de telegraaf,29/11/2023,NL,"['Copenhagen', 'Amsterdam', 'Vienna']"
226,de telegraaf,30/11/2023,NL,"['Copenhagen', 'Amsterdam', 'Vienna']"
227,nrc handelsblad,01/12/2023,NL,['Amsterdam']
228,de telegraaf,02/12/2023,NL,"['Mannheim', 'Berlin', 'Tempelhof']"
229,de telegraaf,03/12/2023,NL,['Utrecht']
230,de telegraaf,04/12/2023,NL,[]
231,nrc handelsblad,05/12/2023,NL,['Amsterdam']
232,de telegraaf,06/12/2023,NL,['Amsterdam']
233,de telegraaf,07/12/2023,NL,['Utrecht']
234,de telegraaf,08/12/2023,NL,['Melbourne']
235,nrc handelsblad,09/12/2023,NL,"['Amsterdam', 'Westland', 'Aalsmeer']"
236,de telegraaf,10/12/2023,NL,[]
237,de telegraaf,11/12/2023,NL,"['Brummen', 'Voorst', 'Zutphen']"
238,nrc handelsblad,12/12/2023,NL,"['Maryland', 'Delaware', 'Washington', 'Florida', 'Miami', 'New York', 'Savannah', 'Philadelphia']"
239,nrc handelsblad,13/12/2023,NL,"['The Hague', 'Zwolle', 'Rotterdam', 'Meppel', 'Apeldoorn', 'Utrecht', 'Middelburg', 'Maastricht', 'Nijmegen', 'Delft']"
240,de telegraaf,14/12/2023,NL,['Venice']
241,nrc handelsblad,15/12/2023,NL,['Amsterdam']
242,de telegraaf,16/12/2023,NL,"['Aachen', 'Leer']"
243,de telegraaf,17/12/2023,NL,['Amsterdam']
244,de telegraaf,18/12/2023,NL,"['Paris', 'Nantes']"
245,nrc handelsblad,19/12/2023,NL,"['Madrid', 'San Francisco', 'London']"
246,de telegraaf,20/12/2023,NL,['Amsterdam']
247,de telegraaf,21/12/2023,NL,[]
248,de telegraaf,22/12/2023,NL,[]
249,de telegraaf,23/12/2023,NL,"['Amsterdam', 'Barcelona', 'Tokyo', 'Toronto', 'Rotterdam', 'Paris', 'New York', 'Shanghai', 'Berlin', 'London']"
250,de telegraaf,24/12/2023,NL,"['The Hague', 'Amsterdam', 'Leiden', 'South Holland', 'Rotterdam', 'Maastricht', 'Vienna']"
251,de telegraaf,25/12/2023,NL,[]
252,nrc handelsblad,26/12/2023,NL,"['Baltimore', 'Paris', 'Chicago', 'Moscow']"
253,nrc handelsblad,27/12/2023,NL,"['The Hague', 'Amsterdam']"
254,de telegraaf,28/12/2023,NL,['Amsterdam']
255,de telegraaf,29/12/2023,NL,['Amsterdam']
256,de telegraaf,30/12/2023,NL,['Utrecht']
257,de telegraaf,31/12/2023,NL,['Amsterdam']
258,de telegraaf,01/01/2024,NL,['Rotterdam']
259,de telegraaf,02/01/2024,NL,"['Amsterdam', 'Utrecht']"
260,de telegraaf,03/01/2024,NL,['Rotterdam']
261,nrc handelsblad,04/01/2024,NL,['Amsterdam']
262,de telegraaf,05/01/2024,NL,['Amsterdam']
263,de telegraaf,06/01/2024,NL,[]
264,de telegraaf,07/01/2024,NL,['Amsterdam']
265,nrc handelsblad,08/01/2024,NL,"['Leiden', 'Amsterdam', 'Utrecht', 'The Hague']"
266,de telegraaf,09/01/2024,NL,"['Amsterdam', 'Utrecht']"
267,de telegraaf,10/01/2024,NL,"['Houten', 'Zwolle', 'Utrecht']"
268,de telegraaf,11/01/2024,NL,['Amsterdam']
269,nrc handelsblad,12/01/2024,NL,['Amsterdam']
270,de telegraaf,13/01/2024,NL,"['Amsterdam', 'Utrecht']"
271,de telegraaf,14/01/2024,NL,['Paris']
272,de telegraaf,15/01/2024,NL,['Utrecht']
273,de telegraaf,16/01/2024,NL,"['The Hague', 'Rotterdam']"
274,nrc handelsblad,17/01/2024,NL,['Rotterdam']
275,nrc handelsblad,18/01/2024,NL,"['Basel', 'Amsterdam']"
276,de telegraaf,19/01/2024,NL,['Utrecht']
277,de telegraaf,20/01/2024,NL,['Utrecht']
278,de telegraaf,21/01/2024,NL,['The Hague']
279,de telegraaf,22/01/2024,NL,"['The Hague', 'Utrecht']"
280,de telegraaf,23/01/2024,NL,"['The Hague', 'Amsterdam']"
281,de telegraaf,24/01/2024,NL,['Amsterdam']
282,de telegraaf,25/01/2024,NL,"['Zwijndrecht', 'Rotterdam', 'South Holland']"
283,de telegraaf,26/01/2024,NL,"['Manhattan', 'New York', 'Brooklyn']"
284,de telegraaf,27/01/2024,NL,"['The Hague', 'Rotterdam', 'South Holland']"
285,de telegraaf,28/01/2024,NL,"['Assen', 'Emmen']"
286,de telegraaf,29/01/2024,NL,['Paris']
287,de telegraaf,30/01/2024,NL,['Rotterdam']
288,de telegraaf,31/01/2024,NL,['Amsterdam']
289,de telegraaf,01/02/2024,NL,"['Amersfoort', 'Utrecht', 'De Bilt']"
290,nrc handelsblad,02/02/2024,NL,"['Amsterdam', 'Utrecht']"
291,de telegraaf,03/02/2024,NL,['Amsterdam']
292,de telegraaf,04/02/2024,NL,"['Amsterdam', 'Amersfoort', 'Utrecht']"
293,de telegraaf,05/02/2024,NL,"['Paris', 'Amsterdam']"
294,de telegraaf,06/02/2024,NL,['Amsterdam']
295,de telegraaf,07/02/2024,NL,[]
296,de telegraaf,08/02/2024,NL,"['The Hague', 'Westland', 'Rotterdam']"
297,de telegraaf,09/02/2024,NL,['Rotterdam']
298,de telegraaf,10/02/2024,NL,[]
299,de telegraaf,11/02/2024,NL,[]
300,de telegraaf,12/02/2024,NL,"['The Hague', 'Amsterdam', 'Rotterdam']"
301,de telegraaf,13/02/2024,NL,"['Amsterdam', 'Assen', 'Tilburg', 'Amersfoort', 'Utrecht', 'Hengelo']"
302,de telegraaf,14/02/2024,NL,['Beaune']
303,nrc handelsblad,15/02/2024,NL,"['Haarlem', 'Amsterdam', 'Rotterdam']"
304,nrc handelsblad,16/02/2024,NL,"['Tel Aviv', 'Jerusalem', 'Rotterdam']"
305,de telegraaf,17/02/2024,NL,"['Amsterdam', 'Tilburg']"
306,de telegraaf,18/02/2024,NL,['Amsterdam']
307,de telegraaf,19/02/2024,NL,['Utrecht']
308,nrc handelsblad,20/02/2024,NL,"['Amsterdam', 'Rotterdam']"
309,nrc handelsblad,21/02/2024,NL,"['Haarlem', 'Amsterdam', 'Lisbon']"
310,de telegraaf,22/02/2024,NL,[]
311,de telegraaf,23/02/2024,NL,['Utrecht']
312,de telegraaf,24/02/2024,NL,['Amsterdam']
313,nrc handelsblad,25/02/2024,NL,[]
314,de telegraaf,26/02/2024,NL,['Utrecht']
315,de telegraaf,27/02/2024,NL,['Utrecht']
316,nrc handelsblad,28/02/2024,NL,['Rotterdam']
317,de telegraaf,29/02/2024,NL,"['Tarragona', 'Amsterdam', 'Cambrils', 'Salou']"
318,nrc handelsblad,01/03/2024,NL,[]
319,de telegraaf,02/03/2024,NL,"['Brussels', 'Utrecht', 'Holland']"
320,nrc handelsblad,03/03/2024,NL,['Amsterdam']
321,de telegraaf,04/03/2024,NL,['Amsterdam']
322,de telegraaf,05/03/2024,NL,"['The Hague', 'Paris']"
323,de telegraaf,06/03/2024,NL,['Utrecht']
324,de telegraaf,07/03/2024,NL,"['The Hague', 'New York']"
325,de telegraaf,08/03/2024,NL,['Dordrecht']
326,de telegraaf,09/03/2024,NL,['Amsterdam']
327,de telegraaf,10/03/2024,NL,['Amsterdam']
328,de telegraaf,11/03/2024,NL,"['The Hague', 'Amsterdam']"
329,de telegraaf,12/03/2024,NL,['The Hague']
330,de telegraaf,13/03/2024,NL,['The Hague']
331,de telegraaf,14/03/2024,NL,['Utrecht']
332,de telegraaf,15/03/2024,NL,['Amsterdam']
333,nrc handelsblad,16/03/2024,NL,"['Beijing', 'Tokyo', 'Iwaki']"
334,de telegraaf,17/03/2024,NL,"['Basel', 'Ulm', 'Mannheim', 'Stuttgart', 'Paris', 'Baden-Baden', 'Strasbourg']"
335,de telegraaf,18/03/2024,NL,"['Basel', 'Ulm', 'Mannheim', 'Stuttgart', 'Paris', 'Baden-Baden', 'Strasbourg']"
336,de telegraaf,19/03/2024,NL,"['Basel', 'Ulm', 'Mannheim', 'Stuttgart', 'Paris', 'Baden-Baden', 'Strasbourg']"
337,de telegraaf,20/03/2024,NL,"['Amsterdam', 'Utrecht']"
338,de telegraaf,21/03/2024,NL,[]
339,de telegraaf,22/03/2024,NL,['Amsterdam']
340,de telegraaf,23/03/2024,NL,"['Eindhoven', 'Vienna', 'Marmaris']"
341,de telegraaf,24/03/2024,NL,"['Cali', 'Uran']"
342,de telegraaf,25/03/2024,NL,"['Amsterdam', 'Baarn', 'Hilversum']"
343,de telegraaf,26/03/2024,NL,"['Cape Town', 'Soweto', 'Johannesburg']"
344,de telegraaf,27/03/2024,NL,"['Amsterdam', 'Utrecht']"
345,nrc handelsblad,28/03/2024,NL,['Berlin']
346,de telegraaf,29/03/2024,NL,"['Old City', 'Jerusalem']"
347,de telegraaf,30/03/2024,NL,['Amsterdam']
348,nrc handelsblad,31/03/2024,NL,['Haarlem']
349,nrc handelsblad,01/04/2024,NL,"['Manchester', 'Paris', 'Amsterdam']"
350,nrc handelsblad,02/04/2024,NL,"['The Hague', 'Amsterdam']"
351,de telegraaf,03/04/2024,NL,[]
352,de telegraaf,04/04/2024,NL,[]
353,nrc handelsblad,05/04/2024,NL,"['The Hague', 'Amsterdam', 'Delfzijl']"
354,nrc handelsblad,06/04/2024,NL,"['Leiden', 'Rotterdam']"
355,nrc handelsblad,07/04/2024,NL,"['Paris', 'Rotterdam']"
356,nrc handelsblad,08/04/2024,NL,"['Paris', 'Rotterdam']"
357,de telegraaf,09/04/2024,NL,['Borger']
358,nrc handelsblad,10/04/2024,NL,"['Tulare', 'Maryland', 'Washington', 'Louisville', 'New York', 'Baltimore']"
359,de telegraaf,11/04/2024,NL,"['The Hague', 'Amsterdam']"
360,nrc handelsblad,12/04/2024,NL,"['Amsterdam', 'Rotterdam', 'Turin']"
361,nrc handelsblad,13/04/2024,NL,"['Amersfoort', 'Utrecht', 'Holland', 'South Holland']"
362,de telegraaf,14/04/2024,NL,"['Paris', 'Carcassonne']"
363,de telegraaf,15/04/2024,NL,"['Paris', 'Carcassonne']"
364,de telegraaf,16/04/2024,NL,"['Paris', 'Carcassonne']"
365,de telegraaf,17/04/2024,NL,['Nijmegen']
366,de telegraaf,18/04/2024,NL,"['Weesp', 'Amsterdam']"
367,nrc handelsblad,19/04/2024,NL,['Berlin']
368,nrc handelsblad,20/04/2024,NL,['Amsterdam']
369,de telegraaf,21/04/2024,NL,"['Shanghai', 'The Hague', 'Boston']"
370,de telegraaf,22/04/2024,NL,"['Veldhoven', 'Utrecht']"
371,nrc handelsblad,23/04/2024,NL,['Amsterdam']
372,nrc handelsblad,24/04/2024,NL,['Amsterdam']
373,nrc handelsblad,25/04/2024,NL,"['Jakarta', 'New York', 'Amsterdam']"
374,de telegraaf,26/04/2024,NL,['Amsterdam']
375,nrc handelsblad,27/04/2024,NL,"['Manhattan', 'Amsterdam', 'The Hague', 'Rotterdam', 'Apeldoorn', 'New York']"
376,de telegraaf,28/04/2024,NL,['Nunspeet']
377,nrc handelsblad,29/04/2024,NL,"['The Hague', 'Amsterdam', 'Leiden', 'Venlo', 'Utrecht', 'Maastricht']"
378,nrc handelsblad,30/04/2024,NL,['Amsterdam']
379,de telegraaf,01/05/2024,NL,[]
380,nrc handelsblad,02/05/2024,NL,"['Amsterdam', 'Westland', 'Rotterdam', 'Lisse', 'Arnhem', 'Maastricht']"
381,de telegraaf,03/05/2024,NL,['Rotterdam']
382,de telegraaf,04/05/2024,NL,[]
383,nrc handelsblad,05/05/2024,NL,"['Amsterdam', 'Zwolle', 'Utrecht', 'Strasbourg', 'Berlin', 'Vienna']"
384,de telegraaf,06/05/2024,NL,"['Venice', 'Amsterdam']"
385,de telegraaf,07/05/2024,NL,"['Oranienburg', 'Berlin']"
386,de telegraaf,08/05/2024,NL,"['Lisbon', 'Utrecht']"
387,nrc handelsblad,09/05/2024,NL,['Amsterdam']
388,de telegraaf,10/05/2024,NL,['Utrecht']
389,de telegraaf,11/05/2024,NL,['Groningen']
390,de telegraaf,12/05/2024,NL,['Groningen']
391,nrc handelsblad,13/05/2024,NL,"['Paris', 'Roubaix', 'Brussels', 'Lille']"
392,nrc handelsblad,14/05/2024,NL,"['Amsterdam', 'London']"
393,de telegraaf,15/05/2024,NL,"['London', 'East London']"
394,de telegraaf,16/05/2024,NL,['Amsterdam']
